~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ Added ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Name					Version		URL																		Comments
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
AppleSkin				1.0.9		https://minecraft.curseforge.com/projects/appleskin						~
Aquaculture				1.6.8		https://minecraft.curseforge.com/projects/aquaculture					~
Baubles					1.5.2		https://minecraft.curseforge.com/projects/baubles						Required by Hooked
bedpatch				2.2			https://minecraft.curseforge.com/projects/bed-patch						~
BetterFoliage			2.2.0		https://minecraft.curseforge.com/projects/better-foliage				Requires Shadowfacts' Forgelin
BetterFps				1.4.8		https://minecraft.curseforge.com/projects/betterfps						~
Bullseye				3.0.7		https://minecraft.curseforge.com/projects/bullseye						~
caveroot				1.1.1		https://minecraft.curseforge.com/projects/cave-root						~
chickens				6.0.4		https://minecraft.curseforge.com/projects/chickens						~
Controlling				3.0.6		https://minecraft.curseforge.com/projects/controlling					~
CookingForBlockheads	6.4.70		https://minecraft.curseforge.com/projects/cooking-for-blockheads		~
CraftingTweaks			8.1.9		https://minecraft.curseforge.com/projects/crafting-tweaks				~
CTM						0.3.3.22	https://minecraft.curseforge.com/projects/ctm							~
Cyclic					1.19.4		https://minecraft.curseforge.com/projects/cyclic						~
diethopper				1.1			https://minecraft.curseforge.com/projects/diet-hoppers					~
DynamicLights			19.5.2018	https://minecraft.curseforge.com/projects/dynamic-lights				~
extrautils2				1.9.9		https://minecraft.curseforge.com/projects/extra-utilities				~
FamiliarFauna			1.0.11		https://minecraft.curseforge.com/projects/familiar-fauna				~
FastWorkbench			1.6.1		https://minecraft.curseforge.com/projects/fastworkbench					~
fencejumper				1.0.5		https://minecraft.curseforge.com/projects/fence-jumper					~
foamfix					0.10.5		https://minecraft.curseforge.com/projects/foamfix-for-minecraft			~
Forgelin				1.8.2		https://minecraft.curseforge.com/projects/shadowfacts-forgelin			Required by Better Foliage
fossilsarcheology		8.0.0		https://minecraft.curseforge.com/projects/fossils						~
hatchery				2.2.1		https://minecraft.curseforge.com/projects/hatchery						Complements Chickens and Roost
hooked					1.0.3		https://minecraft.curseforge.com/projects/hooked						Requires Baubles and LibrarianLib
InfernalMobs			16.12.2017	https://minecraft.curseforge.com/projects/atomicstrykers-infernal-mobs	~
InGameInfoXML			2.8.2.94	https://minecraft.curseforge.com/projects/ingame-info-xml				Requires LunatriusCore
InventoryTweaks			1.63		https://minecraft.curseforge.com/projects/inventory-tweaks				~
iYAMATOs_mod			0.0.6		https://minecraft.curseforge.com/projects/iyamatos-mod					~
jehc					1.6.3		https://minecraft.curseforge.com/projects/just-enough-harvestcraft		~
jei						4.15.0.268	https://minecraft.curseforge.com/projects/jei							~
jeiintegration			1.5.1.36	https://minecraft.curseforge.com/projects/jei-integration				~
journeymap				5.5.4		https://minecraft.curseforge.com/projects/journeymap					~
kjlib					1.0.4		https://minecraft.curseforge.com/projects/kjlib							Required by Cave Root and Stone Chests
KleeSlabs				5.4.11		https://minecraft.curseforge.com/projects/kleeslabs						~
LibEx					1.0.8		https://minecraft.curseforge.com/projects/libraryex						Required by NetherEx
librarianlib			4.15		https://minecraft.curseforge.com/projects/librarianlib					Required by Hooked
llibrary				1.7.18		https://minecraft.curseforge.com/projects/llibrary						Required by Fossils and Archeology
longfallboots			1.2.1b		https://minecraft.curseforge.com/projects/long-fall-boots				~
LunatriusCore			1.2.0.42	https://minecraft.curseforge.com/projects/lunatriuscore					Required by InGame Info XML
MAGE					0.2.4		https://minecraft.curseforge.com/projects/mage							Smooth water lighting (Disabled true darkness)
Mantle					1.3.3.49	https://minecraft.curseforge.com/projects/mantle						Required by Natura and Tinkers' Construct
mcjtylib				3.1.1		https://minecraft.curseforge.com/projects/mcjtylib						Required by xNICEx
modnametooltip			1.10.0		https://minecraft.curseforge.com/projects/mod-name-tooltip				~
morechickens			3.1.0		https://minecraft.curseforge.com/projects/more-chickens					Requires chickens
moreoverlays			1.14		https://minecraft.curseforge.com/projects/more-overlays					~
MouseTweaks				2.10		https://minecraft.curseforge.com/projects/mouse-tweaks					~
Natura					4.3.2.66	https://minecraft.curseforge.com/projects/natura						Requires Mantle
NetherEx				2.0.8		https://minecraft.curseforge.com/projects/netherex						Requires LibEx
nice					0.3.2		https://minecraft.curseforge.com/projects/xnicex						Aquariums!
NoTemaStahp				1.0.3		https://minecraft.curseforge.com/projects/no-tema-stahp					Remove exploits introduced in extrautils2
OpenBlocks				1.8.1		https://minecraft.curseforge.com/projects/openblocks					~
OpenModsLib				0.12.2		https://minecraft.curseforge.com/projects/openmodslib					Required by OpenBlocks
overloadedarmorbar		1.0.4e		https://minecraft.curseforge.com/projects/overloaded-armor-bar			~
Pam's+HarvestCraft		zc			https://minecraft.curseforge.com/projects/pams-harvestcraft				~
Pam's+Simple+Recipes	c			https://minecraft.curseforge.com/projects/pams-simple-recipes			~
